Item,Price_Jan25,MoM_%,YoY_%,Highest_State,Lowest_State
Agric hen eggs,248.04,-1.64,113.08,Enugu,Adamawa
Beans Brown,2458.53,-1.71,151.75,Abia,Sokoto
Beans white,2123.85,-8.42,130.51,Enugu,Sokoto
Beef Boneless,6122.57,-0.45,84.65,Imo,Benue
"Bread (sliced), 450g",1604.78,,,Ogun,Osun
"Bread (unsliced), 450g",1452.98,,,Akwa Ibom,Yobe
"Carrots, fresh",1787.16,,,Bayelsa,Benue
Cat fresh fish,5226.87,20.23,109.29,Plateau,Kaduna
Chicken feet,3293.63,-3.07,60.5,Ondo,Taraba
Chicken meat (Frozen),5497.03,-15.09,37.17,Ebonyi,Sokoto
Chicken Wings,4340.11,-1.87,73.13,Niger,Yobe
Cray fish small white,6227.04,,,Abuja,Bayelsa
"Dried fish, Bonga",6131.98,,,Enugu,Bayelsa
Garri white,1267.63,6.99,111.03,Abuja,Oyo
Garri Yellow,1358.96,4.78,117.71,Gombe,Benue
"Ginger, fresh",4206.8,,,Oyo,Katsina
Goat Meat Bone in,6202.36,,,Akwa Ibom,Kogi
"Groundnut oil, 75cl",2939.73,,,Ogun,Adamawa
"Groundnuts, roasted,75cl bottle",2387.76,,,Bayelsa,Kano
Irish Potatoe,1790.91,-1.51,70.28,Oyo,Abuja
Local Rice (Broken),2508.15,,,Ogun,Yobe
"Mackerel, Frozen",5117.81,19.36,108.21,Plateau,Zamfara
Maize (Corn) Grains (White) sold loose,1168.34,1.49,84.31,Imo,Kebbi
"Onions, fresh ",1367.62,-33.54,55.2,Cross River,Taraba
"Palm oil, 75cl",2329.54,-9.79,59.92,Ogun,Taraba
Plantain (ripe),1876.03,22.32,131.42,Akwa Ibom,Lagos
Plantain (unripe),2119.07,36.7,160.99,Plateau,Oyo
"Rice Local, short-Grained",2068.0,6.36,102.39,Plateau,Oyo
Rice Long-Grained (Imported),2505.48,-0.61,89.52,Plateau,Oyo
"Semovita, Prepacked (1kg)",2072.0,,,Rivers,Oyo
Smoked fish (Mackerel),5407.63,,,Kwara,Kebbi
Sweet potatoes ,852.52,-8.41,38.51,Taraba,Nasarawa
Tilapia fresh fish (Epiya),5065.36,23.34,128.74,Benue,Kebbi
"Tin Milk-Evaporated, Peak Milk, 150g",928.0,-8.55,61.17,Rivers,Bayelsa
"Tin Milk-Evaporated, Three Crown Milk, 160g",837.23,,,Bayelsa,Benue
"Titus, frozen",5467.23,15.7,108.0,Kwara,Taraba
"Tomatoes, fresh ",1081.44,-25.6,27.94,Ebonyi,Kebbi
"Vegetable Oil, 75cl",2975.96,-11.5,66.93,Ekiti,Adamawa
"Watermelon whole, medium size fresh",1850.84,,,Akwa Ibom,Zamfara
"Wheat Flour, Prepacked (2kg)",3847.37,-0.62,88.32,Borno,Bauchi
Yam Tuber,1991.33,4.48,120.78,Ogun,Ondo
